1.	你研習最久的盜賊技能是哪一項？
a.	閃避
	#4400
	20 +6
b.	潛行
	#4401
	16 +6
c.	背刺
	#4402
	19 +6
d.	開鎖
	#4404
	13 +6
e.	扒竊
	#4405
	15 +6
f.	攀爬
	#4406
	18 +6
g.	致命一擊
	#4407
	34 +6
h.	奔跑
	#4408
	21 +6
i.	跳躍
	#4409
	3 +6

2.	你研習最久的魔法學派是
	哪一個？
a.	毀滅
	#4410
	22 +6
b.	恢復
	#4411
	23 +6
c.	幻術
	#4412
	24 +6
d.	變化
	#4413
	25 +6
e.	奇術
	#4414
	26 +6
f.	神秘
	#4415
	27 +6

3.	你的戰鬥專長是？
a.	短刃武器
	#4416
	28 +6
	IT 3 4 1
b.	徒手格鬥
	#4417
	30 +6
	IT 2 1 0
c.	斧戰
	#4418
	31 +6
	IT 3 14 0
d.	鈍器
	#4419
	32 +6
	IT 3 11 0
e.	箭術
	#4420
	33 +6
	IT 3 16 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0

4.	小時候，別人給你的綽號是___。
a.	兔子
	#4421
	3 +6
b.	小魚
	#4422
	17 +6
c.	水銀
	#4423
	21 +6
d.	好鬥鬼
	#4424
	30 +6
e.	猴子
	#4425
	18 +6

5.	你比大多數人更親近___。
a.	野蠻的鷹身女妖
	#4428
	5 +6
b.	單純的巨人
	#4429
	6 +6
c.	光榮的巨龍
	#4430
	7 +6
d.	不羈的寧芙
	#4431
	8 +6
e.	煉獄的迪德拉
	#4432
	9 +6
f.	鄉野的樹精
	#4433
	10 +6
g.	原始的半人馬
	#4434
	11 +6
h.	淘氣的小惡魔
	#4435
	12 +6

6.	長大後，你又接受了___的額外魔法訓練。
a.	毀滅學派
	#4436
	22 +6
b.	恢復學派
	#4437
	23 +6
c.	幻術學派
	#4438
	24 +6
d.	變化學派
	#4439
	25 +6
e.	奇術學派
	#4440
	26 +6
f.	神秘學派
	#4441
	27 +6

7.	正式課業之餘，你把時間花在___。
a.	與貴族交際
	1 +6
	r3 +5
	r0 -5
b.	學習街頭智慧
	2 +6
	r0 +2
	r4 +3
	r3 -5
c.	練習雜技
	3 +2
	20 +2
	18 +2
d.	擅闖民宅
	16 +6
e.	學習經濟學
	14 +6
f.	游泳
	17 +6
g.	對打
	34 +6

8.	在各種討厭的人當中，你最痛恨___。
a.	道貌岸然的祭司
	#4442
	AE M 8 12 +3
b.	邪惡的巫師
	#4443
	AE M 8 2 +4
c.	愚蠢的農民
	#4444
	AE M 8 8 +3
d.	權力狂的強盜領主
	#4445
	AE M 8 17 +4
e.	不道德的刺客
	#4446
	AE M 8 11 +2

9.	是什麼驅使你走上冒險之路？
a.	財富
	GP +500
b.	名聲
	r4 +10
	r2 +10
c.	知識
	IT 7 0 0
d.	樂趣
	1 +3
	2 +3
e.	助人
	r0 +10

10.	你崇拜哪位神祇（若有的話）？
a.	無
	r2 +5
b.	阿凱，誕生與死亡之神
	rf82 +5
c.	澤尼薩爾，商業之神
	rf84 +5
d.	瑪拉，母親女神
	rf88 +5
e.	迪貝拉，美之女神
	rf98 +5
f.	朱利安諾斯，邏輯之神
	rf94 +5
g.	阿卡托什，時間之神
	rf92 +5
h.	斯丹達爾，慈悲之神
	rf106 +5
i.	凱娜瑞斯，空氣女神
	rf36 +5

11.	動身前往帝都前，母親給了你___。
a.	100 枚金幣
	GP +100
b.	一本她心愛的書
	IT 7 0 0
c.	一件胸甲
	IT 2 0 0
d.	一顆珍珠
	IT 22 1 0

12.	你最不擅長___。
a.	抵抗毒素
	RP -10
b.	保持清醒與警覺
	FT -5
c.	與人相處
	RR -5
d.	避免疾病
	RD -5
e.	抵抗魔法
	MR -5
f.	不靠魔法戰鬥
	TH -5

