1.	你研習最多的魔法學派是
	哪一個？
a.	毀滅
	#4156
	22 +6
b.	恢復
	#4157
	23 +6
c.	幻術
	#4158
	24 +6
d.	變化
	#4159
	25 +6
e.	奇術
	#4160
	26 +6
f.	神秘
	#4161
	27 +6

2.	小時候，別人給你的綽號是___。
a.	兔子
	#4450
	3 +6
b.	水銀
	#4451
	21 +6
c.	好鬥鬼
	#4452
	30 +6
d.	猴子
	#4453
	18 +6

3.	你對___有一定程度的訓練。
a.	短刃武器
	#4454
	28 +6
	IT 3 0 3
b.	徒手格鬥
	#4455
	30 +6
	IT 2 1 0
c.	斧戰
	#4456
	31 +6
	IT 3 14 0
d.	鈍器
	#4457
	32 +6
	IT 3 2 0
e.	箭術
	#4458
	33 +6
	IT 3 16 1
	IT 3 18 1
	IT 3 18	1
	IT 3 18	1
	IT 3 18 1
	IT 3 18 1
	IT 3 18 1
f.	長刃
	#4459
	29 +6
	IT 3 9 0

4.	成長過程中，一有機會你就把時間花在___。
a.	與貴族交際
	#4223
	1 +6
	r3 +5
	r0 -5
b.	學習街頭智慧
	#4224
	2 +6
	r0 +2
	r4 +3
	r3 -5
c.	練習雜技
	#4225
	3 +2
	20 +2
	18 +2
d.	學習經濟學
	#4226
	14 +6
e.	游泳
	#4228
	17 +6
f.	對打
	#4229
	34 +6

5.	你研習最久的盜賊技能是哪一項？
a.	閃避
	20 +6
b.	潛行
	16 +6
c.	背刺
	19 +6
d.	開鎖
	13 +6
e.	扒竊
	15 +6
f.	攀爬
	18 +6
g.	致命一擊
	34 +6
h.	奔跑
	21 +6
i.	跳躍
	3 +6

6.	若能選擇獎賞，你會選___。
a.	兩百多枚金幣
	#4528
	GP +250
b.	一把烏木匕首
	#4529
	IT 3 0 7
c.	一本書
	#4530
	IT 7 0 0
d.	一顆紅寶石
	#4531
	IT 14 0 0
e.	一根銀法杖
	#4532
	IT 3 2 2
f.	一枚護符
	#4192
	IT 25 0 0

7.	是什麼驅使你走上冒險之路？
a.	財富
	GP +500
b.	名聲
	r4 +10
	r2 +10
c.	知識
	IT 7 0 0
d.	樂趣
	1 +3
	2 +3
e.	助人
	r0 +10

8.	你崇拜哪位神祇（若有的話）？
a.	無
	r2 +5
b.	阿凱，誕生與死亡之神
	rf82 +5
c.	澤尼薩爾，商業之神
	rf84 +5
d.	瑪拉，母親女神
	rf88 +5
e.	迪貝拉，美之女神
	rf98 +5
f.	朱利安諾斯，邏輯之神
	rf94 +5
g.	阿卡托什，時間之神
	rf92 +5
h.	斯丹達爾，慈悲之神
	rf106 +5
i.	凱娜瑞斯，空氣女神
	rf36 +5

9.	你最不擅長___。
a.	抵抗毒素
	RP -10
b.	保持清醒與警覺
	FT -5
c.	與人相處
	RR -5
d.	避免疾病
	RD -5
e.	抵抗魔法
	MR -5
f.	不靠魔法戰鬥
	TH -5

10.	從童年起，你存下了___。
a.	100 枚金幣
	GP +100
b.	一本有趣的書
	IT 7 0 0
c.	一件胸甲
	IT 2 0 0
d.	一面小圓盾
	IT 2 7 1

11.	你比大多數人更親近___。
a.	野蠻的鷹身女妖
	5 +6
b.	單純的巨人
	6 +6
c.	光榮的巨龍
	7 +6
d.	不羈的寧芙
	8 +6
e.	煉獄的迪德拉
	9 +6
f.	鄉野的樹精
	10 +6
g.	原始的半人馬
	11 +6
h.	淘氣的小惡魔
	12 +6

12.	你的摯友是___。
a.	一名修士
	AF O 8 12 +1
b.	一名法師
	AF O 8 2 +1
c.	一名流氓
	AF O 8 8 +1
d.	一名戰士
	AF O 8 17 +1
e.	一名刺客
	AF O 8 11 +1

