1.	你受過一定程度的
	___訓練。
a.	短刃
	#4454
	28 +6
	IT 3 1 3
b.	徒手
	#4455
	30 +6
	IT 2 1 0
c.	斧
	#4456
	31 +6
	IT 3 14 1
d.	鈍器
	#4457
	32 +6
	IT 3 2 1
e.	箭術
	#4458
	33 +6
	IT 3 16 1
	IT 3 18 1
	IT 3 18 1
	IT 3 18	1
	IT 3 18 1
	IT 3 18 1
	IT 3 18 1
f.	長刃
	#4459
	29 +6
	IT 3 7 1

2.	你研習最久的盜賊技能是
	哪一項？
a.	閃避
	#4550
	20 +6
b.	潛行
	#4551
	16 +6
c.	背刺
	#4552
	19 +6
d.	開鎖
	#4554
	13 +6
e.	扒竊
	#4555
	15 +6
f.	攀爬
	#4556
	18 +6
g.	致命一擊
	#4557
	34 +6
h.	奔跑
	#4558
	21 +6
i.	跳躍
	#4559
	3 +6

3.	是什麼驅使你走上冒險之路？
a.	財富
	#4560
	GP +500
b.	名聲
	#4561
	r4 +10
	r2 +10
c.	知識
	#4562
	IT 7 0 0
d.	樂趣
	#4563
	1 +3
	2 +3
e.	助人
	#4564
	r0 +10

4.	你偏好的犯罪手法是___。
a.	飛簷走壁
	#4565
	AF F 7 12 +1
b.	攔路搶劫
	#4566
	AF F 7 12 +1
c.	扒竊
	#4567
	AF F 7 12 +1
d.	詐騙
	#4568
	AF F 7 12 +1
e.	走私
	#4569
	AF F 7 12 +1
f.	搶銀行
	#4570
	AF F 7 12 +1

5.	若能自選獎賞，你最可能選擇
	___。
a.	200 枚金幣
	#4528
	GP +200
b.	一把烏木匕首
	#4529
	IT 3 0 7
c.	一本有趣的書
	#4530
	IT 7 0 0
d.	一顆紅寶石
	#4531
	IT 14 0 0
e.	一根銀法杖
	#4532
	IT 3 2 2
f.	一枚護符
	#4192
	IT 25 0 0

6.	你學會的最重要求生技能之一
	是如何___。
a.	治療簡單傷口
	0 +6
b.	討好逢迎
	1 +6
c.	發號施令
	2 +6
d.	與商人砍價
	14 +6
e.	用刀戰鬥
	28 +6

7.	你小時候很好動，比同齡任何人都
	___。
a.	更快
	21 +6
b.	更會潛行
	16 +6
c.	更會攀爬
	18 +6
d.	更會游泳
	17 +6
e.	更會打架
	30 +6

8.	你想要的東西，多半是從___
	偷來的。
a.	有錢貴族
	#4654
	!4655
	IT 25 3 0
b.	學者之流
	#4652
	!4653
	IT 7 0 0
c.	根基穩固的神殿
	#4650
	!4651
	IT 10 4 0
d.	各業商人
	#4656
	!4657
	IT 25 5 0

9.	你不可或缺的技能必定是___。
a.	開鎖
	13 +6
b.	扒竊
	15 +6
c.	潛行移動
	16 +6
d.	閃避
	20 +6
e.	攀爬
	18 +6
f.	背刺
	19 +6

10.	小時候，別人給你的綽號是___。
a.	兔子
	3 +6
b.	小魚
	17 +6
c.	水銀
	21 +6
d.	好鬥鬼
	30 +6
e.	猴子
	18 +6

11.	你崇拜哪位神祇（若有的話）？
a.	無
	r2 +5
b.	阿凱，誕生與死亡之神
	rf82 +5
c.	澤尼薩爾，商業之神
	rf84 +5
d.	瑪拉，母親女神
	rf88 +5
e.	迪貝拉，美之女神
	rf98 +5
f.	朱利安諾斯，邏輯之神
	rf94 +5
g.	阿卡托什，時間之神
	rf92 +5
h.	斯丹達爾，慈悲之神
	rf106 +5
i.	凱娜瑞斯，空氣女神
	rf36 +5

12.	童年體弱使你___。
a.	較不抗毒
	RP -5
b.	較不抗病
	RD -5
c.	容易疲勞
	FT -5
d.	較不抗魔
	MR -5

