1.	在各種討厭的人當中，你最痛恨
	___。
a.	道貌岸然的祭司
	#4650
	!4651
	AE M 8 12 +3
b.	邪惡的巫師
	#4652
	!4653
	AE M 8 2 +4
c.	權力狂的強盜領主
	#4654
	!4655
	AE M 8 17 +4
d.	貪婪的商人
	#4656
	!4657
	AE M 8 11 +2

2.	你不可或缺的技能必定是___。
a.	開鎖
	#4522
	13 +6
b.	扒竊
	#4523
	15 +6
c.	潛行移動
	#4524
	16 +6
d.	閃避
	#4525
	20 +6
e.	攀爬
	#4526
	18 +6
f.	背刺
	#4527
	19 +6

3.	你的戰鬥專長是？
a.	短刃
	#4200
	IT 3 0 2
	28 +6
b.	徒手
	#4201
	30 +6
	IT 2 1 0
c.	斧
	#4202
	31 +6
	IT 3 14 0
d.	鈍器
	#4203
	32 +6
	IT 3 11 0
e.	箭術
	#4204
	33 +6
	IT 3 16 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0

4.	為感謝你的貢獻，皇帝賜給你___。
a.	兩百多枚金幣
	#4528
	GP +250
b.	一把烏木匕首
	#4529
	IT 3 0 7
c.	一本有趣的書
	#4530
	IT 7 0 0
d.	一顆紅寶石
	#4531
	IT 14 0 0
e.	一根銀法杖
	#4532
	IT 3 2 2
f.	一枚護符
	#4192
	IT 25 0 0

5.	小時候，別人給你的綽號是___。
a.	兔子
	3 +6
b.	小魚
	17 +6
c.	水銀
	21 +6
d.	好鬥鬼
	30 +6
e.	猴子
	18 +6

6.	你比大多數人更親近___。
a.	野蠻的鷹身女妖
	5 +6
b.	單純的巨人
	6 +6
c.	光榮的巨龍
	7 +6
d.	不羈的寧芙
	8 +6
e.	煉獄的迪德拉
	9 +6
f.	鄉野的樹精
	10 +6
g.	原始的半人馬
	11 +6
h.	淘氣的小惡魔
	12 +6

7.	從童年起，你存下了___。
a.	100 枚金幣
	GP +100
b.	一本心愛的書
	IT 7 0 0
c.	一件胸甲
	IT 2 0 0
d.	一顆珍珠
	IT 22 1 0

8.	只要能力所及，你就會___。
a.	與貴族交際
	1 +6
	r3 +5
	r0 -5
b.	學習街頭智慧
	2 +6
	r0 +2
	r4 +3
	r3 -5
c.	練習雜技
	3 +2
	20 +2
	18 +2
d.	非法侵入
	13 +6
e.	學習經濟學
	14 +6
f.	游泳
	17 +6
g.	對打
	34 +6

9.	是什麼驅使你走上冒險之路？
a.	財富
	GP +500
b.	名聲
	r4 +10
	r2 +10
c.	知識
	IT 7 0 0
d.	樂趣
	1 +3
	2 +3
e.	助人
	r0 +10

10.	你崇拜哪位神祇（若有的話）？
a.	無
	r2 +5
b.	阿凱，誕生與死亡之神
	rf82 +5
c.	澤尼薩爾，商業之神
	rf84 +5
d.	瑪拉，母親女神
	rf88 +5
e.	迪貝拉，美之女神
	rf98 +5
f.	朱利安諾斯，邏輯之神
	rf94 +5
g.	阿卡托什，時間之神
	rf92 +5
h.	斯丹達爾，慈悲之神
	rf106 +5
i.	凱娜瑞斯，空氣女神
	rf36 +5

11.	動身前往帝都之前，你帶上了
	___。
a.	100 枚金幣
	GP +100
b.	一本書
	IT 7 0 0
c.	一面小圓盾
	IT 2 7 1
d.	一副護手
	IT 2 1 0

12.	你最不擅長___。
a.	抵抗毒素
	RP -10
b.	保持清醒與警覺
	FT -5
c.	與人相處
	RR -5
d.	避免疾病
	RD -5
e.	抵抗魔法
	MR -5
f.	戰鬥
	TH -5

