1.	除了弓箭之外，你最擅長___。
a.	短刃
	#4416
	33 +9
	28 +3
	IT 3 3 0
b.	徒手
	#4417
	33 +9
	30 +3
	IT 2 1 0
c.	斧
	#4418
	33 +9
	31 +3
	IT 3 15 0
d.	鈍器
	#4419
	33 +9
	32 +3
	IT 3 13 0
e.	長刃
	#4205
	33 +9
	29 +3
	IT 3 9 0

2.	是什麼驅使你走上冒險之路？
a.	財富
	#4560
	GP +500
b.	名聲
	#4561
	r4 +10
	r2 +10
c.	知識
	#4562
	IT 7 0 0
d.	樂趣
	#4563
	1 +3
	2 +3
e.	助人
	#4564
	r0 +10
	
3.	下列技能中，你研習最久的是
	哪一項？
a.	閃避
	20 +6
b.	潛行
	16 +6
c.	背刺
	19 +6
d.	開鎖
	13 +6
e.	扒竊
	15 +6
f.	攀爬
	18 +6
g.	致命一擊
	34 +6
h.	奔跑
	21 +6
i.	跳躍
	3 +6

4.	小時候，別人給你的綽號是___。
a.	兔子
	3 +6
b.	小魚
	17 +6
c.	水銀
	21 +6
d.	好鬥鬼
	30 +6
e.	猴子
	18 +6

5.	在各種討厭的人當中，你最痛恨
	___。
a.	道貌岸然的祭司
	#4212
	AE M 8 12 +3
b.	邪惡的巫師
	#4213
	AE M 8 2 +4
c.	愚蠢的農民
	#4214
	AE M 8 8 +3
d.	權力狂的強盜領主
	#4215
	AE M 8 17 +4

6.	你與___特別投緣。
a.	野蠻的鷹身女妖
	#4428
	5 +6
b.	單純的巨人
	#4429
	6 +6
c.	光榮的巨龍
	#4430
	7 +6
d.	不羈的寧芙
	#4431
	8 +6
e.	煉獄的迪德拉
	#4432
	9 +6
f.	鄉野的樹精
	#4433
	10 +6
g.	原始的半人馬
	#4434
	11 +6
h.	淘氣的小惡魔
	#4435
	12 +6

7.	你最不擅長___。
a.	抵抗毒素
	RP -10
b.	保持清醒與警覺
	FT -5
c.	與人相處
	RR -5
d.	避免疾病
	RD -5
e.	抵抗法術
	MR -5
f.	戰鬥與格擋
	TH -5

8.	從童年起，你存下了___。
a.	100 枚金幣
	GP +100
b.	一本書
	IT 7 0 0
c.	一打箭矢
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
d.	一件胸甲
	IT 2 0 0

9.	你覺得___最自在。
a.	在穩固地面上
	21 +4
b.	在水中
	17 +4
c.	在岩架或樹上
	18 +4
d.	在任何暗處
	16 +4
e.	與他人相處
	1 +2
	2 +2

10.	獲贈 200 枚金幣作為獎賞後，
	你決定___。
a.	存下來
	GP +200
b.	買一把烏木匕首
	IT 3 0 7
c.	買一本稀有的書
	IT 7 0 0
d.	買一顆紅寶石
	IT 14 0 0
e.	買一根銀法杖
	IT 3 2 2

11.	你把所有空閒時間都用來訓練
	___。
a.	短刃
	28 +6
b.	徒手
	30 +6
c.	斧
	31 +6
d.	鈍器
	32 +6
e.	箭術
	33 +6
f.	長刃
	29 +6

12.	你的摯友是___。
a.	一名修士
	#4212
	AF O 8 12 +1
b.	一名法師
	#4213
	AF O 8 2 +1
c.	一名流氓
	#4214
	AF O 8 8 +1
d.	一名戰士
	#4215
	AF O 8 17 +1
e.	一名刺客
	#4216
	AF O 8 11 +1

