1.	你最喜歡使用___。
a.	短刃
	#4200
	!4900
	28 +12
	IT 3 3 0
b.	徒手
	#4201
	!4901
	30 +12
	IT 2 1 0
c.	斧
	#4202
	!4902
	31 +12
	IT 3 15	0
d.	鈍器
	#4203
	!4903
	32 +12
	IT 3 12	0
e.	箭術
	#4204
	!4904
	33 +12
	IT 3 16	0
	IT 3 18	1
	IT 3 18	1
	IT 3 18 1
	IT 3 18 1
	IT 3 18 1
	IT 3 18	2
f.	長刃
	#4205
	!4905
	29 +12
	IT 3 9 0
	
2.	是什麼驅使你走上冒險之路？
a.	財富
	#4560
	GP +500
b.	名聲
	#4561
	r4 +10
	r2 +10
c.	知識
	#4562
	IT 7 0 0
d.	樂趣
	#4563
	1 +3
	2 +3
e.	助人
	#4564
	r0 +10
	
3.	下列技能中，你研習最久的是
	哪一項？
a.	閃避
	20 +6
b.	潛行
	16 +6
c.	背刺
	19 +6
d.	開鎖
	13 +6
e.	扒竊
	15 +6
f.	攀爬
	18 +6
g.	致命一擊
	34 +6
h.	奔跑
	21 +6
k.	跳躍
	3 +6

4.	小時候，別人給你的綽號是___。
a.	兔子
	3 +6
b.	小魚
	17 +6
c.	水銀
	21 +6
d.	好鬥鬼
	30 +6
e.	猴子
	18 +6

5.	有人借給你、後來准你留下___。
a.	200 枚金幣
	GP +200
b.	一本書
	IT 7 0 0
c.	一件胸甲
	IT 2 0 0
d.	一副肩甲
	IT 2 3 0
	IT 2 4 0
e.	一把大太刀
	IT 3 10 1

6.	你崇拜哪位神祇（若有的話）？
a.	無
	r2 +5
b.	阿凱，誕生與死亡之神
	rf82 +5
c.	澤尼薩爾，商業之神
	rf84 +5
d.	瑪拉，母親女神
	rf88 +5
e.	迪貝拉，美之女神
	rf98 +5
f.	朱利安諾斯，邏輯之神
	rf94 +5
g.	阿卡托什，時間之神
	rf92 +5
h.	斯丹達爾，慈悲之神
	rf106 +5
i.	凱娜瑞斯，空氣女神
	rf36 +5

7.	你最不擅長___。
a.	抵抗毒素
	RP -10
b.	保持清醒與警覺
	FT -5
c.	與人相處
	RR -5
d.	避免疾病
	RD -5
e.	抵抗魔法
	MR -5
f.	戰鬥與格擋
	TH -5

8.	一個月工作之後，你有了___。
a.	100 枚金幣
	GP +100
b.	一本出色的書
	IT 7 0 0
c.	一打箭矢
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
	IT 3 18 0
d.	一枚戒指
	IT 25 2 0

9.	你比大多數人更親近___。
a.	野蠻的鷹身女妖
	5 +6
b.	單純的巨人
	6 +6
c.	光榮的巨龍
	7 +6
d.	不羈的寧芙
	8 +6
e.	煉獄的迪德拉
	9 +6
f.	鄉野的樹精
	10 +6
g.	原始的半人馬
	11 +6
h.	淘氣的小惡魔
	12 +6

10.	在巷子裡翻找時，你發現了___。
a.	兩百枚金幣
	#4528
	GP + 200
b.	一本書
	#4530
	IT 7 0 0
c.	一顆紅寶石
	#4531
	IT 14 0 0
d.	一把銀連枷
	#4532
	IT 3 12 2
e.	一枚護符
	#4192
	IT 25 0 0

11.	你把所有空閒時間都用來訓練
	___。
a.	短刃
	28 +6
b.	徒手
	30 +6
c.	斧
	31 +6
d.	鈍器
	32 +6
e.	箭術
	33 +6
f.	長刃
	29 +6

12.	你的摯友是___。
a.	一名修士
	#4212
	AF O 8 12 +1
b.	一名法師
	#4213
	AF O 8 2 +1
c.	一名流氓
	#4214
	AF O 8 8 +1
d.	一名戰士
	#4215
	AF O 8 17 +1
e.	一名刺客
	#4216
	AF O 8 11 +1

