- Text database for game settings window.

schema: *key,text

- Tabs and section titles

gamePlay,                                           遊玩
interface,                                          介面
enhancements,                                       增強
video,                                              畫面
accessibility,                                      無障礙

game,                                               遊戲
controls,                                           操作
audio,                                              音訊
spells,                                             法術
meleeAttacks,                                       近戰攻擊
tooltips,                                           工具提示
hud,                                                HUD
gui,                                                GUI
light,                                              光照
basic,                                              基本
advanced,                                           進階
automap,                                            自動地圖
dungeonmicromap,                                    地城微地圖

- Settings and tooltip descriptions

startInDungeon,                                     從地城開始
startInDungeonInfo,                                 新遊戲從第一個地城裡面開始
smallerDungeons,                                    縮小地城
smallerDungeonsInfo,                                隨機地城將只有一個內部區塊與四個邊界區塊
randomDungeonTextures,                              地城貼圖
randomDungeonTexturesInfo,                          以隨機種子產生地城貼圖表
cameraRecoilStrength,                               鏡頭後座力強度
cameraRecoilStrengthInfo,                           玩家受傷時螢幕後座的強度。會隨傷害縮放。
mouseSensitivity,                                   滑鼠靈敏度
mouseSensitivityInfo,                               滑鼠視角靈敏度。
weaponSensitivity,                                  武器靈敏度
weaponSensitivityInfo,                              武器揮擊對滑鼠移動的靈敏度
movementAcceleration,                               移動加速
movementAccelerationInfo,                           移動時加入少量加速／減速
weaponAttackThreshold,                              武器攻擊閾值
weaponAttackThresholdInfo,                          發動攻擊所需的最小滑鼠手勢移動距離
soundFont,                                          音色庫
soundFontInfo,                                      使用中的音色庫
alternateMusic,                                     替代音樂
alternateMusicInfo,                                 使用經 OPL3 最佳化的原聲帶版本。
soundVolume,                                        音效音量
soundVolumeInfo,                                    音效音量。
musicVolume,                                        音樂音量
musicVolumeInfo,                                    音樂音量。
spellLighting,                                      法術光照
spellLightingInfo,                                  啟用法術光照
spellShadows,                                       法術陰影
spellShadowsInfo,                                   啟用法術陰影
instantRepairs,                                     即時修理服務
instantRepairsInfo,                                 停用修理等待時間，改為立即完成
bowDrawback,                                        弓——拉弓與放箭
bowDrawbackInfo,                                    按住滑鼠右鍵拉弓，放開即射擊
toggleSneak,                                        切換潛行
toggleSneakInfo,                                    讓潛行動作改為切換，不必按住
meleeAttackDetection,                               命中判定
meleeAttackDetectionInfo,                           近戰攻擊鎖定目標的複雜度
meleeAttackFriendlyProtection,                      保護友方與中立
meleeAttackFriendlyProtectionInfo,                  防止非敵對單位被誤擊

toolTips,                                           工具提示
toolTipsInfo,                                       顯示 GUI 項目的資訊
toolTipDelayInSeconds,                              延遲
toolTipDelayInSecondsInfo,                          工具提示延遲秒數
toolTipTextColor,                                   文字顏色
toolTipTextColorInfo,                               工具提示文字的字型顏色
toolTipBackgroundColor,                             背景顏色
toolTipBackgroundColorInfo,                         工具提示的背景顏色
crosshair,                                          準星
crosshairInfo,                                      在 HUD 上啟用準星
vitalsIndicators,                                   生命徵象指示
vitalsIndicatorsInfo,                               在生命徵象條上顯示數值變化指示
interactionModeIcon,                                互動模式圖示
interactionModeIconInfo,                            互動模式情境圖示樣式
arrowCounter,                                       箭矢計數
arrowCounterInfo,                                   使用弓時在 HUD 上啟用箭矢計數
showQuestJournalClocksAsCountdown,                  任務日誌倒數計時
showQuestJournalClocksAsCountdownInfo,              顯示剩餘時間而非開始後經過的時間
inventoryInfoPanel,                                 物品欄資訊面板
inventoryInfoPanelInfo,                             物品欄資訊面板
enhancedItemLists,                                  增強物品清單
enhancedItemListsInfo,                              物品欄 16 格物品網格
enableModernConversationStyleInTalkWindow,          對話視窗現代風格
enableModernConversationStyleInTalkWindowInfo,      對話視窗使用現代對話風格
iconsPositioningScheme,                             增益圖示配置
iconsPositioningSchemeInfo,                         畫面上增益／減益圖示的大小與位置
helmAndShieldMaterialDisplay,                       頭盔與盾牌材質顯示
helmAndShieldMaterialDisplayInfo,                   在資訊彈窗與工具提示中顯示頭盔與盾牌材質
geographicBackgrounds,                              地理背景
geographicBackgroundsInfo,                          依地理位置顯示對應的角色背景
dungeonExitWagonPrompt,                             地城馬車存取提示
dungeonExitWagonPromptInfo,                         離開地城時提示是否存取馬車。（出口 5 公尺內隨時可使用馬車）
travelMapLocationsOutline,                          描繪地區地圖地點輪廓
travelMapLocationsOutlineInfo,                      在地區地圖的地點周圍描繪輪廓以提升可見度
guildQuestListBox,                                  公會任務玩家選擇
guildQuestListBoxInfo,                              以清單顯示可接的公會任務
bowLeftHandWithSwitching,                           弓僅裝備於左手
bowLeftHandWithSwitchingInfo,                       將弓裝備於左手並允許切換單手武器——切換有短暫延遲
loiterLimitInHours,                                 最大閒晃時數
loiterLimitInHoursInfo,                             變更預設閒晃時數上限
automapTempleColor,                                 公會廳顏色
automapTempleColorInfo,                             室外自動地圖上神殿與公會廳的顏色
automapShopColor,                                   商店顏色
automapShopColorInfo,                               室外自動地圖上商店的顏色
automapTavernColor,                                 酒館顏色
automapTavernColorInfo,                             室外自動地圖上酒館的顏色
automapHouseColor,                                  住宅顏色
automapHouseColorInfo,                              室外自動地圖上住宅及其他建築的顏色
dungeonMicMapQoL,                                   微地圖便利開關
dungeonMicMapQoLInfo,                               否＝使用原版微地圖顏色｜是＝使用微地圖便利顏色
dunMicMapInnerColor,                                內部區塊顏色
dunMicMapInnerColorInfo,                            便利選項為是時，地城內部區塊在微地圖上的顏色
dunMicMapBorderColor,                               邊界區塊顏色
dunMicMapBorderColorInfo,                           便利選項為是時，地城邊界區塊在微地圖上的顏色

modSystem,                                          模組系統
modSystemInfo,                                      啟用模組支援。
assetInjection,                                     資源注入
assetInjectionInfo,                                 從已啟用模組與散裝檔案匯入資源覆寫。
compressModdedTextures,                             壓縮模組貼圖
compressModdedTexturesInfo,                         以壓縮格式匯入貼圖，減少顯示記憶體用量。
gameConsole,                                        遊戲控制台
gameConsoleInfo,                                    啟用控制台指令輸入
nearDeathWarning,                                   瀕死警告
nearDeathWarningInfo,                               瀕死時顯示閃爍／脈動螢幕效果作為警告。
alternateRandomEnemySelection,                      替代隨機敵人選擇
alternateRandomEnemySelectionInfo,                  在地城中以更高變化度產生隨機敵人。
advancedClimbing,                                   進階攀爬系統
advancedClimbingInfo,                               可朝各方向攀牆，也可跳離並再次抓住。
dungeonAmbientLightScale,                           地城環境光
dungeonAmbientLightScaleInfo,                       地城裡面環境光的強度
nightAmbientLightScale,                             夜間環境光
nightAmbientLightScaleInfo,                         夜間室內外環境光的強度
playerTorchLightScale,                              玩家火把光
playerTorchLightScaleInfo,                          玩家自身光源強度
playerTorchFromItems,                               依物品的玩家火把
