Key,Value
17,湮滅
1,克拉維庫斯·維爾
2,梅魯涅斯·大袞
3,莫拉格·巴爾
4,赫辛
5,桑吉恩
6,佩瑞特
7,瑪拉凱斯
8,赫瑪烏斯·莫拉
10,博耶西亞
11,納米拉
12,梅瑞迪亞
13,維爾米納
14,諾克特納爾
15,梅法拉
356,夜母
108,黑暗兄弟會
839,黑暗訓練師
840,黑暗調劑師
841,毒液大師
842,黑暗策士
843,黑暗束縛師
807,黑暗殺手
16,阿祖拉
9,謝古拉特
450,通用神殿
240,神殿傳教士
810,神殿司庫
813,神殿治療師
811,神殿祝福者
25,埃邦阿姆
90,埃邦阿姆堡壘
91,戰爭領主
21,阿凱
82,阿凱教團
83,環騎士團
453,阿凱藥劑師
454,阿凱調劑師
456,阿凱召喚師
455,阿凱束縛師
241,阿凱教師
22,澤尼薩爾
84,澤尼薩爾決議會
85,鐵騎士團
462,澤尼薩爾藥劑師
463,澤尼薩爾調劑師
464,澤尼薩爾召喚師
243,澤尼薩爾教師
24,瑪拉
88,瑪拉仁愛會
402,奎斯特利領主
89,瑪拉騎士團
468,瑪拉藥劑師
469,瑪拉調劑師
470,瑪拉召喚師
245,瑪拉教師
26,阿卡托什
92,阿卡托什聖堂
93,時辰騎士團
385,查維克-西
473,阿卡托什藥劑師
474,阿卡托什調劑師
475,阿卡托什召喚師
247,阿卡托什教師
27,朱利安諾斯
94,朱利安諾斯學院
95,導師騎士團
407,布里察
480,朱利安諾斯工匠
481,朱利安諾斯鐵匠
482,朱利安諾斯召喚師
249,朱利安諾斯教師
29,迪貝拉
98,迪貝拉神殿
99,百合騎士團
485,迪貝拉藥劑師
487,迪貝拉調劑師
488,迪貝拉召喚師
250,迪貝拉教師
33,斯丹達爾
106,斯丹達爾神殿
107,十字軍
490,斯丹達爾藥劑師
491,斯丹達爾調劑師
492,斯丹達爾召喚師
252,斯丹達爾教師
35,凱娜瑞斯
36,凱娜瑞斯神殿
37,凱娜瑞斯騎士團
370,庫爾德領主
497,凱娜瑞斯法術匠
498,凱娜瑞斯召喚師
496,凱娜瑞斯附魔師
254,凱娜瑞斯教師
977,湮滅之秘
40,法師公會
68,大法師
69,公會法師長
369,波普達克斯
396,卡雷西斯
71,古籍大師
70,學術大師
74,占卜大師
72,武器大師
73,聖殿長
