Key,Value
22400,美麗少女
22401,黑暗戰士
22402,可怕的孩子
22403,有角的男子
22404,有爪怪物
22405,綠色類人
22406,四臂巨人
22407,深色皮膚的女人
22408,金髮女子
22409,偶蹄男子
22410,深色皮膚的女人
22411,黑衣女子
22412,綠蛇
22413,赤紅巨人
22414,優雅紳士
22415,乾癟老太婆
22528,黑斗篷男子
22529,黑斗篷男子
22530,裸胸舞者
22531,裸胸舞者
22532,舞者
22533,黑斗篷男子
22534,黑紅衣女子
22656,戴頭巾的老人
22657,戴帽老人
22658,禿頭男子
22659,金髮女子
22660,眼放光芒的男子
22661,魔法工匠
22784,戴頭巾的女子
22785,紅頭巾男子
22786,紅斗篷男子
22787,紅斗篷男子
22788,眼放光芒的男子
22789,紅頭巾舞者
22790,紅頭巾舞者
22912,黑髮裸女
22913,裸女
22914,神秘女子
22915,黑頭巾舞者
22916,紅髮女子
23040,紅衣黑髮女子
23041,穿藍衣的貴婦
23042,衣著講究的男子
23043,穿紫衣的胖男人
23168,藍斗篷男子
23169,穿藍衣的年輕女子
23170,藍斗篷老人
23171,藍斗篷男孩
23172,美麗金髮女子
23173,穿藍衣的舞者
23174,藍斗篷舞者
23175,藍斗篷舞者
23296,白髮老人
23297,胖禿頭男子
23298,金鬍男子
23299,蓄鬚男子
23300,衣著講究的男孩
23301,弄臣
23302,弄臣
23303,白鬍男子
23304,戴廚師帽的男子
23305,灰衣女人
23306,藍衣女子
23307,標致少女
23308,擠奶女工
23309,穿棕衣的男子
23310,戴棕帽的男子
23311,金髮貴族
23312,淺色鬍鬚男子
23313,金鬍男子
23314,棕髮青年
23315,穿灰外衣的男子
23316,穿綠外套的男子
23317,年老乞丐
23318,披斗篷的老人
23319,穿藍外套的男子
23320,蓄鬚老人
23321,邋遢水手
23322,穿綠衣的年輕女士
23323,衣著優雅的女士
23324,藍斗篷女子
23325,可憐的殘疾老人
23326,可憐的禿頭男子
23327,可憐的禿頭男子
23328,模樣不錯的娼妓
23329,妓女
23330,金髮娼妓
23331,邋遢水手
23332,弄蛇人
23333,吹笛人
23334,小女孩
23335,掃街人
23336,神情睿智的男子
23337,出色的女子
23338,侍童
23339,小男孩
23340,老太婆
23341,愛冒險的女子
23342,英俊青年
23343,漂亮的年輕女士
23344,金髮娼妓
23345,雜耍人
23346,長笛手
23347,魯特琴手
23348,鼓手
23349,年輕搖鈴人
23350,戴兜帽的男子
23351,戴兜帽的男子
23352,戴兜帽的女子
23353,近乎全裸的男子
23354,近乎全裸的男子
23355,鐵匠
23424,高貴仙靈
23425,高貴仙靈
23426,衛兵
23427,衛兵
23428,模樣高貴的男子
23429,華麗的青年
23430,蓄鬚國王
23431,戴頭巾的國王
23432,白髮女王
23433,褐髮女王
23434,國王
23435,女王
23436,戴頭巾的修士
23437,英俊的年輕國王
23438,驚豔褐髮女子
23439,失明老太婆
23440,時髦胖子
23441,邋遢女巫
23442,美麗的紅守衛
23443,威嚴獸人
23444,黑暗精靈國王
23445,金髮女王
23552,富裕商人
23553,披斗篷的女子
23554,穿綠袍的男子
23555,肥胖長笛手
23556,健壯青年
23557,美麗金髮女子
23558,裸胸村婦
23559,外表俐落的金髮女子
23560,金髮蕩婦
23561,曲線玲瓏的褐髮女子
23562,耀眼金髮女子
23563,金髮裸女
23564,褐髮裸女
23565,金髮裸女
23566,褐髮裸女
23567,衣衫襤褸的男孩
23568,胖老人
23569,強壯農夫
23570,強悍女子
23571,迷人金髮女子
23572,紫衣男子
23573,蓄鬚老人
23574,持杖女子
23575,穿綠褲的女子
23576,黑髮流氓
23577,淺髮青年
23578,紅髮女子
23579,可憐乞丐
23580,紅髮妖嬈女子
23581,穿藍衣的金髮女子
23582,深膚色女子
23583,禿頭奴隸
23584,深膚色女戰士
23585,深膚色豐滿女子
23586,騎馬男子
25472,光
25473,光
25474,迪德拉
25475,召喚
25476,休息
25477,宮廷
25478,坑
25479,效果
25480,入口
25481,路徑
25482,起點
25483,任務
25484,創建
25485,監獄
25486,監獄出口
25487,隨機怪物
25488,怪物
42771,戈斯瑞德
42773,奧布基
42752,普羅夫利斯
42753,波普達克斯
42757,辛達莎
42756,米尼塞拉
42770,莫巴爾
42769,布里德韋爾
45703,洛圖恩王子
42762,北橋夫人
45711,阿科里西女王
45697,格雷克利斯王子
44305,艾莉薩娜公主
44288,莫吉亞公主
44310,巴蘭西亞女王
44309,伊德懷爾國王
44304,赫爾塞斯王子
44299,卡雷西斯
44295,卡斯特利安領主
44298,藍斗篷女子（途歇城宮廷）
42768,衛兵
44308,衛兵
45709,衛兵
42758,弄臣
44291,弄臣
42755,弄臣
42763,魯特琴手
42772,時髦胖子
42759,蓄鬚老人
42761,侍童
42767,衛兵
44307,衛兵
45708,衛兵
44302,神情睿智的男子
45701,吹笛人
45698,灰衣女人
45700,邋遢水手
45706,近乎全裸的男子
42766,鐵匠
