Key,Value
0,紅寶石
1,綠寶石
2,藍寶石
3,鑽石
4,翡翠
5,綠松石
6,孔雀石
7,琥珀
8,細枝
9,綠葉
10,紅花
11,黃花
12,根鬚
13,根球
14,松枝
15,綠莓
16,紅莓
17,黃莓
18,三葉草
19,紅玫瑰
20,黃玫瑰
21,黑玫瑰
22,白玫瑰
23,紅罌粟
24,黑罌粟
25,金罌粟
26,白罌粟
27,銀杏葉
28,竹子
29,棕櫚
30,蘆薈
31,無花果
32,仙人掌
33,狼人血
34,豬人獠牙
35,仙龍鱗
36,寧芙髮
37,獨角獸角
38,怨靈精華
39,靈質
40,食屍鬼舌
41,蜘蛛毒液
42,巨魔之血
43,蛇毒
44,戈耳工蛇
45,巫妖塵
46,龍鱗
47,巨型蠍刺
48,小蠍刺
49,木乃伊繃帶
50,巨人血
51,蛇蜥之眼
52,獅鷲羽毛
53,迪德拉之心
54,聖徒之髮
55,聖遺物
56,大齒
57,中齒
58,小齒
59,純水
60,雨水
61,獸人血
62,生命靈藥
63,花蜜
64,靈液
65,水銀
66,錫
67,黃銅
68,磁石
69,硫磺
70,鉛
71,鐵
72,銅
73,銀
74,金
75,鉑金
76,象牙
77,珍珠
78,因杜爾塞特
79,蘇爾蘇姆
80,奎斯托·維爾
81,埃格羅塔特
82,玻璃罐
83,玻璃瓶
84,醒酒瓶
85,陶罐
86,小袋
87,大袋
88,箭袋
89,背包
90,小箱子
91,酒架
92,大箱子
93,小推車
94,馬
95,划艇
96,大船
97,小艦
98,大槳帆船
99,連棟住宅地契
100,房屋地契
101,莊園地契
102,胸甲
103,護手
104,護腿
105,左肩甲
106,右肩甲
107,頭盔
108,靴子
109,小圓盾
110,圓盾
111,鳶盾
112,塔盾
113,匕首
114,短刀
115,法杖
116,短劍
117,脇差
118,闊劍
119,軍刀
120,長劍
121,太刀
122,巨劍
123,大太刀
124,釘頭錘
125,連枷
126,戰錘
127,戰鬥斧
128,戰爭斧
129,短弓
130,長弓
131,箭矢
132,法術書
133,護符
134,護腕
135,戒指
136,手鐲
137,徽章
138,頸環
139,布護符
140,魔杖
141,皮帶
142,臂帶
143,和服
144,華美臂帶
145,腰帶
146,艾奧多里克
147,鞋子
148,高筒靴
149,靴子
150,涼鞋
151,便褲
152,馬褲
153,短裙
154,便裝斗篷
155,正裝斗篷
156,卡吉特套裝
157,德溫寧罩袍
158,短束腰外衣
159,正裝束腰外衣
160,托加袍
161,雙面束腰外衣
162,腰布
163,素袍
164,祭司袍
165,短衫
166,短衫
167,長衫
168,長衫
169,短衫
170,短衫
171,長衫
172,長衫
173,開襟束腰外衣
174,裹巾
175,長裙
176,安蒂克萊爾罩袍
177,挑戰者皮帶
178,短衫
179,長衫
180,背心
181,冠軍皮帶
182,胸衣
183,正裝胸衣
184,農婦罩衫
185,艾奧多里克
186,鞋子
187,高筒靴
188,靴子
189,涼鞋
190,便褲
191,便裝斗篷
192,正裝斗篷
193,卡吉特套裝
194,正裝艾奧多里克
195,晚禮服
196,日裝長裙
197,便裝洋裝
198,無肩帶洋裝
199,腰布
200,素袍
201,女祭司袍
202,短衫
203,短衫
204,長衫
205,長衫
206,短衫
207,短衫
208,長衫
209,長衫
210,開襟束腰外衣
211,裹巾
212,長裙
213,緊身褲
214,短衫
215,長衫
216,背心
217,普通單人床
218,華美單人床
219,普通雙人床
220,華美雙人床
221,大型橡木桌
222,大型櫻桃木桌
223,大型桃花心木桌
224,大型柚木桌
225,小型橡木桌
226,小型櫻桃木桌
227,小型桃花心木桌
228,小型柚木桌
229,橡木椅
230,櫻桃木椅
231,桃花心木椅
232,柚木椅
233,窗簾
234,華美窗簾
235,大枕頭
236,小枕頭
237,小素地毯
238,大素地毯
239,小精美地毯
240,大精美地毯
241,大掛毯
242,中掛毯
243,小掛毯
244,大獸皮
245,小獸皮
246,燭臺
247,火把
248,燈籠
249,繃帶
250,灌木
251,花卉
252,油
253,蠟燭
254,望遠鏡
255,天平
256,地球儀
257,骷髏
258,念珠
259,稀有聖徽
260,普通聖徽
261,鈴鐺
262,聖水
263,護身符
264,宗教物品
265,小雕像
266,大雕像
267,聖像
268,聖甲蟲
269,聖燭
270,聖匕首
271,聖書
272,祭壇
273,聖水盆
274,靈魂陷阱
275,信用狀
276,金幣
277,書籍
278,藥劑配方
279,羊皮紙
280,圖騰
281,屍體
282,曼特拉
283,手指
284,畫作
285,房屋地契
286,船舶地契
287,地圖
