Key,Value
382613,卡爾昆莊園
1435144,飛翔的山羊客棧
2484750,卡爾喬姆農莊遺跡
3533330,斯丹達爾的歌唱之星
4582840,死亡的獅鷲旅店
5631489,斯丹達爾的神聖重生
6681069,菲格塔農莊遺跡
7730553,斯丹達爾的祝福先知
8779219,馬倫的衛所
9828725,老內斯宅地
10878349,阿特里加
11926957,克勒德之墓穴
12975535,老盧克塔棚屋
14025104,布比里達塔
15074640,蝙蝠與鳥客棧
16124193,貝爾巴克尼
17174726,拉喬姆之墓窖
18223327,格羅勒滕
19271936,老斯特克提的宅地遺跡
20320547,舒斯特農莊
21369130,斯丹達爾的聖殉者
22417712,利謝恩城堡
23467165,科菲爾特之墓穴
24516751,斯丹達爾的可畏之樹
25565421,塔爾德爾墓窖
26614955,加奇農莊遺跡
27663535,特盧倫克恩宮殿遺跡
28712158,穆爾金莊園
29760740,斯丹達爾的哀泣救贖者
30810229,穆爾普果園遺跡
31859850,阿扎魯斯蛛網
32910438,圖澤之塔
33959037,塞格坦莊園遺跡
35008605,卡洛古賈
36057193,索盧爾農舍遺跡
37106662,梅里姆的衛所遺跡
38155335,老鼠與城堡酒館
39204823,爾農舍
40253489,西羅·科姆
41303972,斯丹達爾的泣血之光
42353413,老勒克法的棚屋遺跡
43402098,克羅菲倫庭院遺跡
44450710,塞克特克恩之塔
45499404,斯丹達爾的泣血預見者
46548913,老莫爾西的宅地遺跡
47597527,貝蘇姆之塔
48647001,赫圖布
49695593,拉爾格克府邸遺跡
50744174,塞克比斯
51793622,福爾宮殿
52842419,惡魔的酒杯酒館
53891732,老斯勒斯·伊的農場遺跡
54940340,莫甘達通
55989066,魯爾庫爾墓地
57037717,弗洛齊爾墓窖
58086314,特里塞爾洛羅格蛛網
59135650,爾農莊遺跡
60184362,馬雷祖拉牧師宅
61233933,格雷喬恩宮殿
62282512,巴爾托巴姆之石塚
63331146,利特霍斯之墓陵
64379737,達爾佩姆府邸
65429189,喬爾特之墓窖
66477767,澤努努加
67526394,羅吉拉
68575045,加林莊園
69624526,克爾達爾之要塞
70673223,達森塔
71722522,老穆格特·西的棚屋
72771108,斯丹達爾的燃燒聖像
73819798,庫爾廷庭院
74868381,奧索帕薩
75917092,弗洛爾深坑
76966430,梅林祖拉隱修所
78015130,不安的獾旅店
79064561,沙利爾塔
80113160,爾克恩塔遺跡
81161870,梅薩斯庫扎
82210490,塞里布里
83259071,巴吉西布
84307700,比爾德宮殿
85356287,格里布利特爾之修道院
86405622,雷爾德爾公墓
87454323,貝爾佩莊園
88502910,斯丹達爾的神聖預見者
89551540,菲爾特克恩塔
90600914,穆斯圖恩府邸
91649523,梅什克農莊遺跡
92698270,斯丹達爾的泣血日出
93747600,巴爾彭農莊遺跡
94796189,拉切爾莊園遺跡
95844799,比爾克爾墓地
96893512,洛金公墓
97942118,薩什塔爾克
98991510,托索姆種植園遺跡
100040090,沼澤巫會
101088668,特羅格德雷德之蛛網
102137467,納拉哈雷特
103186065,比朱爾府邸遺跡
104235398,斯丹達爾的溫柔之星
105283981,基爾迪爾公墓
106332587,馬爾普塔遺跡
107381381,薩雷爾庭院
108429959,沃爾格城堡
109479287,弗盧克滕農莊遺跡
110527893,薩胡格克斯洞窟
111576593,馬爾格莊園
112625185,莫金達
113673773,斯圖瓦姆墓地
114723151,科格克恩城堡
115771856,納爾迪爾府邸
116820498,老加爾特薩的陋屋
117869111,查爾肯莊園
118917700,舒爾格倫城堡
119966282,瓦迪傑努
121015569,阿恩托爾的蛛網
122064188,斯丹達爾的燃燒日出
123112886,拉梅托爾
124161500,斯拉奇克之據點
125210098,賈維尼
126258734,狐狸與野蠻人酒館
127307321,不幸的城堡旅舍
128356798,女王的幼鹿旅店
129405455,托爾姆克恩莊園
130454792,爾莊園
131503383,奧夫爾洛爾特倫塔遺跡
132551983,努爾切隧道
133600681,蘇傑爾農莊
134649286,提爾曼小屋
135698635,斯丹達爾的泣血聖像
136747259,獅子與祭司客棧
137796000,達戈斯
138844664,馬菲拉爾公墓
139894101,因弗埃哈姆之墳墓
140942714,利金府邸遺跡
141992095,布格滕之墓窖
143040735,基斯特城堡遺跡
144089467,鼴鼠與獅鷲酒吧
145138118,弗拉多賓之石塚
146187374,德珍旅舍
147236000,福格塔的衛所
148284604,斯丹達爾的恆在日出
149333306,特爾德克之堡壘
150381889,貝爾通塔遺跡
151432271,塞蘭達·科姆
152480861,巴拉特塞薩洞穴
153529477,斯盧吉爾公墓
154578056,紅巨人酒館
155627572,爾庭院遺跡
156676394,口渴的城堡旅店
157725708,費爾金的衛所遺跡
158774290,死亡的巨靈旅舍
159822972,杜克特姆農莊遺跡
160871558,斯丹達爾的哀號預兆
161920136,惡魔的食人魔酒吧
162968729,福爾姆特小屋遺跡
164018199,貝格特公墓
165067009,納羅扎
166116413,老卡爾梅陋屋遺跡
167165096,斯拉爾孔農舍遺跡
168214503,喬德神龕
169263116,斯丹達爾的哀號祭壇
170311731,斯丹達爾的內在日出
171360386,芬恩庇所
172409839,斯丹達爾的燃燒救贖者
173458441,阿利克拉
174507143,老格雷菲爾塔的農場遺跡
175556631,老莫爾克·伊的陋屋
176605288,阿恩特勒拉拉
177654661,德米布洛特薩大教堂
