Key,Value
4,克拉維庫斯的假面
66,梅魯涅斯剃刀
128,莫拉格·巴爾之錘
190,赫辛戒指
252,桑吉恩玫瑰
314,奧格瑪無限古卷
376,瓦巴傑克
438,納米拉戒指
500,腐化顱骨
562,阿祖拉之星
624,無聲之%it
686,智者之%it
748,野火之%it
810,力箭之%it
872,閃耀之%it
934,封門之%it
996,通行無阻之%it
1058,毒解藥之%it
1120,竊命之%it
1182,巫師之火之%it
1244,跳躍之%it
1306,水上行走之%it
1368,魔力之%it
1430,永不疲倦之%it
1492,羽量之%it
1554,%it，守護者
1616,電擊之%it
1678,詛咒之%it
1740,遠距沉默之%it
1802,噴毒之%it
1864,熾烈火球之%it
1926,霜寒冰暴之%it
1988,閃電之%it
2050,亡者之%it
2112,治療之%it
2174,獸人領主之%it
2236,不受拘束之%it
2298,鋼鐵意志之%it
2360,靈巧之%it
2422,托戈之%it
2484,剛毅之%it
2546,友誼之%it
2608,好運之%it
2670,湮滅之%it
2732,毒雲之%it
2794,麻痺之%it
2856,沃倫鄧瑞格
2918,術士戒指
2980,奧瑞爾之弓
3042,死靈法師護符
3104,克里薩梅爾
3166,領主鎖甲
3228,馬格努斯之杖
3290,卡吉特戒指
3352,烏木鎖甲
3414,奧瑞爾之盾
3476,破法者
3538,骷髏鑰匙
3600,烏木刃
