Key,Value
0,"力量[/center]
力量決定負重、武器傷害[/left]
以及提升力量相關技能的難易。[/left]
以你 %str 的力量，你被視為 %ark。[/left]
[/pos:x=20,y=0]%dam [/pos:x=40,y=0]修正會計入你的[/left]
[/pos:x=40,y=0]徒手／武器傷害。[/left]
[/pos:x=20,y=0]%enc [/pos:x=40,y=0]公斤是你的最大負重。[/left]
[/end]"
1,"智力[/center]
智力決定總魔法潛能[/left]
以及提升智力相關技能的難易。[/left]
以你 %int 的智力，你被視為 %ark。[/left]
[/pos:x=20,y=0]可用法術點數為 %spc／%spt。[/left]
[/end]"
2,"意志[/center]
意志決定對法術效果的抗性[/left]
以及提升意志相關技能的難易。[/left]
以你 %wil 的意志，你被視為 %ark。[/left]
[/pos:x=20,y=0]+%mad [/pos:x=40,y=0]修正會計入你的魔法抗性。[/left]
[/end]"
3,"敏捷[/center]
敏捷決定命中目標、[/left]
閃避攻擊，以及提升[/left]
敏捷相關技能的難易。以你 %agi 的敏捷，[/left]
你被視為 %ark。[/left]
[/pos:x=20,y=0]%thd [/pos:x=40,y=0]修正會計入你的戰鬥勝負。[/left]
[/end]"
4,"耐力[/center]
耐力決定生命值、治療速率、[/left]
對毒素與疾病的抗性，以及疲勞。[/left]
以你 %end 的耐力，你被視為 %ark。[/left]
[/pos:x=20,y=0]%hea [/pos:x=40,y=0]修正會計入你[/left]
[/pos:x=40,y=0]每升一級獲得的生命值。[/left]
[/pos:x=20,y=0]%hmd [/pos:x=40,y=0]修正會計入你的治療速率。[/left]
[/end]"
5,"魅力[/center]
魅力決定提升[/left]
魅力相關技能的難易。[/left]
以你 %per 的魅力，你被視為 %ark。[/left]
[/end]"
6,"速度[/center]
速度決定移動速率、遠程武器裝填時間，[/left]
以及所有速度相關技能。[/left]
以你 %spd 的速度，你被視為 %ark。[/left]
[/end]"
7,"幸運[/center]
幸運會強力修正你採取的任何行動。[/left]
沒有任何技能以幸運為主要屬性，[/left]
但你在任何技能檢定中的成功機率[/left]
都會受幸運影響。[/left]
以你 %luc 的幸運，你被視為 %ark。[/left]
[/end]"
8,"訓練將花費你 %a。[/center]
你要接受訓練嗎？[/end]"
10,我想他們在 %fcn 有一個。[/end]
