Key,Value
1,芬里克的門閂
2,浮力
3,霜噬
4,漂浮
5,光明
6,隱形
7,巫師之火
8,電擊
9,力量吸取
10,自由行動
11,抵抗寒冷
12,抵抗火焰
13,抵抗電擊
14,火球
15,治癒毒素
16,冰箭
17,護盾
18,開鎖
19,巫師鎖
20,冰暴
22,法術護盾
23,沉默
24,巨魔之血
25,火暴
26,抵抗毒素
27,法術汲取
28,遠距沉默
29,毒雲
30,沙利多之鏡
31,閃電
32,諸神之火
33,野火
34,巫師撕裂
35,美杜莎凝視
36,力箭
37,緩降
38,跳躍
39,法術抗性
40,耐力
41,水上行走
42,水中呼吸
44,變色龍
45,暗影形態
46,法術反射
47,法術吸收
49,巧舌
50,麻痺
51,睡眠
52,吸血鬼之觸
53,睡眠之手
54,魔力吸取
55,否定之球
56,腐朽之手
57,放逐迪德拉
58,聖言
59,魔力歸零
60,巴萊納解藥
61,治癒疾病
62,靈魂陷阱
64,治療
66,蜘蛛之觸
67,能量吸取
71,馬錢子
72,砒霜
73,月籽
74,德羅斯草
75,索姆納利烏斯
76,火成酸
77,法師剋星
78,提爾草
79,因杜爾塞特
80,蘇爾蘇姆
81,奎斯托·維爾
82,獸人之力
83,智慧
84,鋼鐵意志
85,靈巧
86,諾托戈之足
87,剛毅
88,魅力
89,萬事通
90,魅惑凡人
91,安撫類人
92,獸化症
94,召回
97,巴萊納香脂
98,鎮靜不死
99,馴服
